domain,country_name
news.yahoo.com,United States
breitbart.com,United States
edition.cnn.com,United States
marketscreener.com,France
biztoc.com,United States
blogs.timesofisrael.com,Israel
tellerreport.com,Denmark
abcnews.go.com,United States
article.wn.com,United States
us.cnn.com,United States
en.shafaqna.com,Iraq
www2.cbn.com,United States
news.antiwar.com,United States
archyde.com,France
finance.yahoo.com,United States
christianpost.com,United States
en.globes.co.il,Israel
inquirer.com,United States
chicago.suntimes.com,United States
eng.obozrevatel.com,Ukraine
original.antiwar.com,United States
newsnationnow.com,United States
newsbeezer.com,Germany
checkyourfact.com,United States
humanevents.com,United States
whatsnew2day.com,United Kingdom
new.finalcall.com,United States
newsbreak.com,United States
thesaxon.org,Germany
isp.netscape.com,United States
btimesonline.com,Malaysia
vervetimes.com,United States
fox13seattle.com,United States
the-sun.com,United States
deseret.com,United States
uk.news.yahoo.com,United Kingdom
asia.nikkei.com,Japan
breakinglatest.news,United States
financial-world.org,Germany
kiratas.com,Turkey
radio.foxnews.com,United States
unocha.org,Switzerland
yourdemocracy.net,United States
columbusjewishnews.com,United States
frontline.thehindu.com,India
ca.news.yahoo.com,Canada
observers.france24.com,France
ctinsider.com,United States
news.wgcu.org,United States
sg.news.yahoo.com,Singapore
thecentersquare.com,United States
adonis49.wordpress.com,United States
nny360.com,United States
d1softballnews.com,United States
legit.ng,Nigeria
thetimeshub.in,India
znetwork.org,United States
myspiritfm.com,United States
montanarightnow.com,United States
english.palinfo.com,Palestine
fdd.org,United States
trendydigests.com,Nigeria
thenewhumanitarian.org,Switzerland
aclj.org,United States
uspolitics.einnews.com,United States
iowacapitaldispatch.com,United States
cathstan.org,United States
morningexpress.in,India
westchester.news12.com,United States
en.interfax.com.ua,Ukraine
news.artnet.com,United States
digitpatrox.com,India
passblue.com,United States
dnyuz.com,United States
news.abs-cbn.com,Philippines
radio.wpsu.org,United States
jewishchronicle.timesofisrael.com,Israel
en.idi.org.il,Israel
atlantanewsfirst.com,United States
am1100theflag.com,United States
citizen.digital,Kenya
news.wjct.org,United States
cnbctv18.com,India
news.usni.org,United States
news.wttw.com,United States
uk.style.yahoo.com,United Kingdom
uk.finance.yahoo.com,United Kingdom
todayheadline.co,India
pakistantimesusa.net,United States
sentinelcolorado.com,United States
au.news.yahoo.com,Australia
m.lasvegassun.com,United States
learningenglish.voanews.com,United States
ca.finance.yahoo.com,Canada
en.israelidiamond.co.il,Israel
panapress.com,Senegal
snl24.com,South Africa
newtelegraphng.com,Nigeria
theasialive.com,Singapore
the-independent.com,United States
britannica.com,United States
ktrh.iheart.com,United States
markets.businessinsider.com,United States
brazilbusiness.einnews.com,United States
coloradonewsline.com,United States
local3news.com,United States
assahifa.com,Morocco
religionunplugged.com,United States
onmanorama.com,India
ctpublic.org,United States
thebulltulsa.com,United States
midmichigannow.com,United States
michiganadvance.com,United States
outono.net,Spain
firstalert4.com,United States
dakotanewsnow.com,United States
justthenews.com,United States
editorials.voa.gov,United States
yoursourceone.com,United States
nation.africa,Kenya
exbulletin.com,United States
boston25news.com,United States
kahawatungu.com,Kenya
tampafp.com,United States
arise.tv,United Kingdom
kenyans.co.ke,Kenya
von.gov.ng,Nigeria
alaskasnewssource.com,United States
news.northeastern.edu,United States
news.wfsu.org,United States
albawaba.net,Jordan
penncapital-star.com,United States
johansen.se,Sweden
politiko.al,Albania
apartheidmonitor.palestine-studies.org,Palestine
ohiocapitaljournal.com,United States
asiatoday.id,Indonesia
dailybaro.orangemedianetwork.com,United States
edglentoday.com,United States
images.dawn.com,Pakistan
goodwordnews.com,United States
todayinbc.com,Canada
cde.news,United States
global.ilmanifesto.it,Italy
thenewsmill.com,India
psucollegian.com,United States
www2.ljworld.com,United States
therealnews.com,United States
710wor.iheart.com,United States
obituaries.palestineherald.com,United States
international.thenewslens.com,Taiwan
ca.style.yahoo.com,Canada
world.kbs.co.kr,South Korea
cronkitenews.azpbs.org,United States
tnp.straitstimes.com,Singapore
borderreport.com,United States
deleciousfood.com,United States
cowboystatedaily.com,United States
edition.channel5belize.com,Belize
english.hani.co.kr,South Korea
wjno.iheart.com,United States
factcheck.afp.com,France
themessenger.com,United States
radiojamaicanewsonline.com,Jamaica
batimes.com.ar,Argentina
cweb.com,United States
caspiannews.com,Azerbaijan
atalayar.com,Spain
dailymontanan.com,United States
thestockdork.com,United States
kansasreflector.com,United States
wildcat.arizona.edu,United States
abbtakk.tv,Pakistan
barrie360.com,Canada
azzasedky.typepad.com,Egypt
missoulacurrent.com,United States
castanetkamloops.net,Canada
sundial.csun.edu,United States
cryptopolitan.com,Malta
rvasia.org,Philippines
actionnews5.com,United States
sea.mashable.com,Singapore
en.famagusta.news,Cyprus
globalhappenings.com,United States
republicworld.com,India
flipboard.com,United States
kiss108.iheart.com,United States
nowthisnews.com,United States
business.inquirer.net,Philippines
wusf.org,United States
en.yabiladi.com,Morocco
ukrainetoday.org,Ukraine
southarkansassun.com,United States
thedeepdive.ca,Canada
nationaltribune.com.au,Australia
offshore-energy.biz,Netherlands
thepinknews.com,United Kingdom
darkreading.com,United States
universe.byu.edu,United States
smninewschannel.com,Sint Maarten
new.irasciblemusings.com,United States
international.la-croix.com,France
newsdigest.ng,Nigeria
christianitydaily.com,United States
dcnewsnow.com,United States
wiod.iheart.com,United States
theleaflet.in,India
laciviltacattolica.com,Vatican City
simpleflying.com,United Kingdom
lailluminator.com,United States
news24online.com,India
19fortyfive.com,United States
tag24.com,Germany
minnesotareformer.com,United States
news.prairiepublic.org,United States
sites.ed.gov,United States
eng.the-liberty.com,Japan
english.newstracklive.com,India
brazilreports.com,Brazil
allthingsfinance.net,United States
kentuckylantern.com,United States
businesstelegraph.co.uk,United Kingdom
1news.co.nz,New Zealand
floridianpress.com,United States
jacobin.com,United States
connecticut.news12.com,United States
e.vnexpress.net,Vietnam
euroefe.euractiv.es,Spain
southseattleemerald.com,United States
ny.eater.com,United States
rinj.org,Canada
nevadacurrent.com,United States
english.enabbaladi.net,Syria
neweralive.na,Namibia
telesurenglish.net,Venezuela
wtaj.com,United States
idahocapitalsun.com,United States
news.rthk.hk,Hong Kong
theregister.com,United Kingdom
newhampshirebulletin.com,United States
listen.sdpb.org,United States
azmirror.com,United States
caribbeannewsglobal.com,United States
tennesseelookout.com,United States
jamn945.iheart.com,United States
newsfromthestates.com,United States
citynewsokc.com,United States
